gridpoin_ID XDisplacement(m) YDisplacement(m) ZDisplacement(m)
1 0 0 -0.000474395 
2 0 0 -0.000498069 
3 0 -1.80835e-05 -0.000473939 
4 -0.000356192 0 -0.000627674 
5 0 -1.80037e-05 -0.000497607 
6 -0.000355494 -2.08205e-05 -0.000626856 
7 -0.000337697 0 -0.000644886 
8 -0.000337099 -2.0671e-05 -0.000644081 
9 0 0 -0.000517487 
10 0 -1.88005e-05 -0.000517023 
11 -0.000334117 0 -0.000657648 
12 -0.000333555 -2.15608e-05 -0.000656862 
13 0 0 -0.000533605 
14 0 -2.05548e-05 -0.000533112 
15 -0.000349001 0 -0.000667303 
16 -0.000348416 -2.35955e-05 -0.000666509 
17 0 0 -0.000546472 
18 0 -2.33951e-05 -0.000546017 
19 -0.00038395 0 -0.000676433 
20 -0.000383291 -2.69551e-05 -0.000675683 
21 0 -3.60501e-05 -0.000472516 
22 0 -3.59066e-05 -0.000496137 
23 -0.000353414 -4.14852e-05 -0.000624352 
24 -0.000335304 -4.12001e-05 -0.000641644 
25 0 -3.75018e-05 -0.000515533 
26 -0.000331885 -4.29795e-05 -0.000654483 
27 0 -4.09969e-05 -0.000531692 
28 -0.000346684 -4.70408e-05 -0.000664193 
29 0 -4.66475e-05 -0.000544661 
30 -0.000381308 -5.37141e-05 -0.000673441 
31 0 -5.37909e-05 -0.000470135 
32 0 -5.36006e-05 -0.000493703 
33 -0.00034998 -6.18406e-05 -0.000620177 
34 -0.000332348 -6.1443e-05 -0.000637598 
35 0 -5.59944e-05 -0.000513153 
36 -0.000329112 -6.41109e-05 -0.000650496 
37 0 -6.12091e-05 -0.000529314 
38 -0.000343831 -7.01775e-05 -0.000660334 
39 0 -6.96188e-05 -0.000542408 
40 -0.000378038 -8.01014e-05 -0.000669749 
41 0 -7.12071e-05 -0.000466828 
42 0 -7.09835e-05 -0.000490302 
43 -0.000345213 -8.17415e-05 -0.000614413 
44 -0.000328258 -8.12569e-05 -0.000631972 
45 0 -7.4171e-05 -0.000509768 
46 -0.000325275 -8.4815e-05 -0.000644969 
47 0 -8.10747e-05 -0.000526013 
48 -0.000339858 -9.28446e-05 -0.000655001 
49 0 -9.21701e-05 -0.000539276 
50 -0.000373532 -0.000105938 -0.000664619 
51 0 -8.8192e-05 -0.000462617 
52 0 -8.7958e-05 -0.00048596 
53 -0.000339181 -0.00010104 -0.000607096 
54 -0.000323076 -0.000100508 -0.000624856 
55 0 -9.19344e-05 -0.000505452 
56 -0.000320415 -0.00010496 -0.000638029 
57 0 -0.000100482 -0.000521808 
58 -0.000334827 -0.000114897 -0.000648242 
59 0 -0.000114181 -0.0005353 
60 -0.000367824 -0.000131059 -0.000658087 
61 0 -0.000104646 -0.000457545 
62 0 -0.000104419 -0.000480742 
63 -0.000331981 -0.0001196 -0.000598282 
64 -0.000316878 -0.00011907 -0.000616278 
65 0 -0.000109185 -0.000500273 
66 -0.000314572 -0.00012442 -0.000629668 
67 0 -0.000119328 -0.000516706 
68 -0.000328782 -0.000136213 -0.000640115 
69 0 -0.000135519 -0.000530494 
70 -0.000360952 -0.000155285 -0.000650242 
71 0 -0.00012046 -0.000451613 
72 0 -0.000120283 -0.000474633 
73 -0.000323664 -0.000137293 -0.000588079 
74 -0.000309705 -0.000136819 -0.000606362 
75 0 -0.000125831 -0.00049419 
76 -0.000307815 -0.00014308 -0.000619967 
77 0 -0.000137516 -0.000510789 
78 -0.000321781 -0.000156656 -0.000630676 
79 0 -0.000156061 -0.000524874 
80 -0.00035299 -0.000178468 -0.000641121 
81 0 -0.000135546 -0.000444865 
82 0 -0.000135459 -0.00046772 
83 -0.000314347 -0.000153995 -0.000576604 
