zone_ID Sig1(MPa) Sig2(MPa) Sig3(MPa) _Sxx(MPa) _Syy(MPa) _Szz(MPa) _State
1 -96833.8 -191221 -192744 -191285 -96833.8 -192680 0
2 -69331.5 -136261 -137645 -136304 -69331.5 -137602 0
3 -41865 -81249.6 -82560.6 -81270.3 -41865 -82539.8 0
4 -14438 -26169.2 -27501.5 -26174.4 -14438 -27496.2 0
5 -96828.7 -191225 -192743 -191288 -96828.7 -192680 0
6 -69326.6 -136265 -137644 -136307 -69326.6 -137602 0
7 -41859.8 -81252.7 -82560.2 -81273.3 -41859.8 -82539.5 0
8 -14431.9 -26172.5 -27501.5 -26177.7 -14431.9 -27496.3 0
9 -96818.5 -191234 -192741 -191296 -96818.6 -192679 0
10 -69316.6 -136271 -137643 -136313 -69316.6 -137601 0
11 -41849.2 -81259 -82559.5 -81279.2 -41849.2 -82539.2 0
12 -14419.6 -26179 -27501.6 -26184.1 -14419.8 -27496.5 0
13 -96803.6 -191246 -192739 -191306 -96803.7 -192678 0
14 -69301.4 -136281 -137641 -136323 -69301.5 -137600 0
15 -41833.1 -81268.1 -82558.5 -81287.9 -41833.2 -82538.7 0
16 -14401.2 -26188.7 -27501.7 -26193.4 -14401.5 -27496.7 0
17 -96783.7 -191262 -192735 -191321 -96783.9 -192677 0
18 -69281.6 -136295 -137639 -136335 -69281.8 -137599 0
19 -41812.2 -81280.4 -82557.6 -81299.5 -41812.4 -82538.3 0
20 -14377.2 -26201.3 -27501.7 -26205.8 -14377.6 -27496.7 0
21 -96759.1 -191282 -192731 -191338 -96759.4 -192675 0
22 -69257.4 -136311 -137637 -136350 -69257.6 -137598 0
23 -41786.6 -81295.3 -82555.9 -81313.7 -41786.8 -82537.3 0
24 -14347.8 -26217 -27501.8 -26221.2 -14348.4 -27497 0
25 -96730.1 -191306 -192726 -191358 -96730.4 -192673 0
26 -69228.9 -136331 -137633 -136367 -69229.2 -137597 0
27 -41756.4 -81312.9 -82554.1 -81330.4 -41756.7 -82536.4 0
28 -14313.1 -26235.3 -27501.7 -26239.1 -14313.9 -27497.1 0
29 -96697 -191332 -192721 -191381 -96697.4 -192671 0
30 -69196.3 -136353 -137630 -136387 -69196.6 -137595 0
31 -41722.1 -81333.1 -82552.4 -81349.6 -41722.4 -82535.5 0
32 -14273.8 -26256.4 -27501.8 -26259.8 -14274.8 -27497.4 0
33 -96660.5 -191361 -192715 -191407 -96661 -192669 0
34 -69160.4 -136377 -137626 -136409 -69160.8 -137593 0
35 -41683.8 -81355.4 -82550.2 -81370.9 -41684.2 -82534.3 0
36 -14230.2 -26279.9 -27502.2 -26282.9 -14231.5 -27498 0
37 -96620.7 -191393 -192709 -191435 -96621.3 -192666 0
38 -69121.1 -136403 -137621 -136433 -69121.6 -137591 0
39 -41642.3 -81379.9 -82548.1 -81394.3 -41642.7 -82533.2 0
40 -14182.7 -26305.4 -27502 -26307.9 -14184.1 -27498.1 0
41 -96577.2 -191426 -192703 -191464 -96577.9 -192664 0
42 -69078.4 -136431 -137616 -136459 -69078.9 -137588 0
43 -41598.2 -81406.5 -82546.1 -81419.7 -41598.7 -82532.3 0
44 -14132.2 -26333 -27501.9 -26335.1 -14133.8 -27498.2 0
45 -96531.2 -191461 -192696 -191495 -96531.9 -192660 0
46 -69033.7 -136461 -137611 -136486 -69034.3 -137586 0
47 -41551.2 -81434.3 -82543.4 -81446.4 -41551.8 -82530.7 0
48 -14078.9 -26362.4 -27502.3 -26364.1 -14080.6 -27498.9 0
49 -96482.8 -191497 -192688 -191527 -96483.6 -192657 0
